 total_passengers 
------------------
          2772143
(1 row)

         city_name         | state_name | airport_code |                      airline_name                       | passengers 
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        930
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        795
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        780
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        811
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        801
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |       1157
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        989
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        753
 Denver, CO                | Colorado   | DEN          | Southwest Airlines Co.                                  |        994
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        308
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        400
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        387
 Denver, CO                | Colorado   | DEN          | Republic Airlines                                       |        397
 Colorado Springs, CO      | Colorado   | COS          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Federal Express Corporation                             |          0
 Grand Junction, CO        | Colorado   | GJT          | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | DEN          | Trans States Airlines                                   |        251
 Grand Junction, CO        | Colorado   | GJT          | Allegiant Air                                           |        921
